Zone;Date;Taux de chomage;Code zone;Code Région
Segré;2017-01-01;7.0;5208;52
Segré;2006-04-01;5.6;5208;52
Segré;2018-04-01;6.8;5208;52
Segré;2008-07-01;4.6;5208;52
Segré;2018-01-01;6.9;5208;52
Segré;2019-07-01;6.4;5208;52
Laval;2005-01-01;5.3;5209;52
Laval;2006-01-01;5.6;5209;52
Laval;2009-07-01;6.5;5209;52
Laval;2013-01-01;7.0;5209;52
Laval;2013-10-01;6.7;5209;52
Laval;2005-04-01;5.4;5209;52
Laval;2012-07-01;6.6;5209;52
Laval;2005-07-01;5.4;5209;52
Mayenne;2007-04-01;4.4;5210;52
Mayenne;2018-10-01;5.5;5210;52
Mayenne;2011-04-01;5.2;5210;52
Mayenne;2003-10-01;4.9;5210;52
Mayenne;2016-04-01;6.6;5210;52
Mayenne;2006-01-01;5.5;5210;52
Mayenne;2012-07-01;6.2;5210;52
Mayenne;2017-07-01;6.3;5210;52
Mayenne;2008-10-01;4.7;5210;52
Mayenne;2008-07-01;4.4;5210;52
Mayenne;2016-10-01;6.7;5210;52
Mayenne;2020-01-01;5.5;5210;52
Mayenne;2004-01-01;5.0;5210;52
La Ferté-Bernard;2010-04-01;6.7;5211;52
La Ferté-Bernard;2017-01-01;7.7;5211;52
La Ferté-Bernard;2015-07-01;8.7;5211;52
La Ferté-Bernard;2003-10-01;6.2;5211;52
La Ferté-Bernard;2012-07-01;7.7;5211;52
La Ferté-Bernard;2004-04-01;6.2;5211;52
La Flèche;2014-04-01;9.8;5212;52
La Flèche;2018-10-01;8.5;5212;52
La Flèche;2011-04-01;8.3;5212;52
La Flèche;2003-07-01;6.4;5212;52
La Flèche;2015-10-01;10.4;5212;52
La Flèche;2006-04-01;8.1;5212;52
La Flèche;2013-10-01;9.4;5212;52
La Flèche;2012-07-01;9.4;5212;52
La Flèche;2017-07-01;9.2;5212;52
La Flèche;2008-04-01;6.5;5212;52
La Flèche;2008-01-01;6.4;5212;52
La Flèche;2016-10-01;9.9;5212;52
Le Mans;2016-07-01;9.7;5213;52
Le Mans;2007-10-01;6.3;5213;52
Le Mans;2010-01-01;8.9;5213;52
Le Mans;2018-10-01;8.6;5213;52
Le Mans;2005-10-01;7.7;5213;52
Le Mans;2005-01-01;7.2;5213;52
Le Mans;2006-01-01;8.0;5213;52
Le Mans;2013-04-01;10.2;5213;52
Sablé-sur-Sarthe;2011-07-01;7.2;5214;52
Sablé-sur-Sarthe;2014-07-01;8.5;5214;52
Sablé-sur-Sarthe;2018-10-01;7.0;5214;52
Sablé-sur-Sarthe;2017-04-01;8.0;5214;52
Sablé-sur-Sarthe;2005-04-01;5.9;5214;52
Sablé-sur-Sarthe;2012-10-01;8.5;5214;52
Sablé-sur-Sarthe;2012-07-01;8.1;5214;52
Sablé-sur-Sarthe;2004-04-01;6.1;5214;52
Sablé-sur-Sarthe;2005-07-01;6.2;5214;52
Sablé-sur-Sarthe;2004-10-01;6.0;5214;52
Challans;2010-10-01;8.7;5215;52
Challans;2014-07-01;10.2;5215;52
Challans;2006-01-01;8.4;5215;52
Fontenay-le-Comte;2010-10-01;8.1;5216;52
Fontenay-le-Comte;2014-04-01;9.7;5216;52
Fontenay-le-Comte;2015-07-01;9.6;5216;52
Fontenay-le-Comte;2015-10-01;9.5;5216;52
Fontenay-le-Comte;2006-10-01;6.8;5216;52
Fontenay-le-Comte;2018-07-01;8.0;5216;52
Fontenay-le-Comte;2016-10-01;9.1;5216;52
Fontenay-le-Comte;2015-04-01;9.8;5216;52
Fontenay-le-Comte;2004-07-01;7.1;5216;52
Les Herbiers;2014-04-01;5.7;5217;52
Les Herbiers;2014-01-01;5.7;5217;52
Les Herbiers;2018-10-01;4.3;5217;52
Les Herbiers;2017-04-01;4.8;5217;52
Les Herbiers;2015-10-01;5.5;5217;52
Les Herbiers;2016-04-01;5.3;5217;52
Les Herbiers;2013-01-01;5.5;5217;52
Les Herbiers;2012-10-01;5.6;5217;52
Les Herbiers;2012-07-01;5.5;5217;52
Les Herbiers;2009-04-01;5.9;5217;52
La Roche-sur-Yon;2013-07-01;8.5;5218;52
La Roche-sur-Yon;2013-10-01;8.4;5218;52
La Roche-sur-Yon;2005-04-01;6.2;5218;52
La Roche-sur-Yon;;;5218;52
La Roche-sur-Yon;2008-07-01;5.4;5218;52
La Roche-sur-Yon;2019-07-01;6.7;5218;52
Les Sables-d'Olonne;2014-10-01;11.5;5219;52
