Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0440069L;Lycée général et technologique Aristide Briand;LYCEE GENERAL ET TECHNOLOGIQUE;ARISTIDE BRIAND;Public;10 boulevard Pierre de Coubertin;;418;44606;ST NAZAIRE CEDEX;Saint-Nazaire;304692.0;6698935.0;EPSG:2154;47.27280304051035;-2.2325803430103903;Correcte;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;44;52;17;44184;Loire-Atlantique;Pays de la Loire;Nantes;47.2728030405,-2.23258034301;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0440228J;Collège privé Le Sacré-Coeur;COLLEGE PRIVE;LE SACRE COEUR;Privé;1 bis avenue DE LA PLAGE;;43;44380;PORNICHET;Pornichet;296311.7;6698618.1;EPSG:2154;47.26490820750227;-2.3428898180387683;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;44;52;17;44132;Loire-Atlantique;Pays de la Loire;Nantes;47.2649082075,-2.34288981804;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1967-03-10
0530456H;Ecole primaire;ECOLE PRIMAIRE;;Public;Rue de la Gare;;;53210;SOULGE SUR OUETTE;Soulgé-sur-Ouette;434280.4;6779390.2;EPSG:2154;48.06084838627172;-0.5682096541668755;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;53;52;17;53262;Mayenne;Pays de la Loire;Nantes;48.0608483863,-0.568209654167;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-02-05
0531051E;ECOLE PRIMAIRE PRIVEE;ECOLE ELEMENTAIRE PRIVEE LA PAGERIE;LA PAGERIE;Privé;Lieu-dit La Ferranderie;;;53170;LE BURET;Le Buret;437820.3;6763776.6;EPSG:2154;47.92190795414563;-0.5114198039456528;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;53;52;17;53046;Mayenne;Pays de la Loire;Nantes;47.9219079541,-0.511419803946;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2018-09-28
0720199A;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;ECOLE DU LAC;Public;11 RUE DU CHAMP DE FOIRE;;;72510;MANSIGNE;Mansigné;485497.9;6742251.2;EPSG:2154;47.745650857037994;0.13695942805054356;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;72;52;17;72182;Sarthe;Pays de la Loire;Nantes;47.745650857,0.136959428051;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-10-11
0850114M;Collège privé Saint Louis;COLLEGE PRIVE;ST LOUIS;Privé;23 place NAPOLEON;;;85035;LA ROCHE SUR YON CEDEX;La Roche-sur-Yon;361805.2;6628540.5;EPSG:2154;46.67161815028098;-1.4261497119725588;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;85;52;17;85191;Vendée;Pays de la Loire;Nantes;46.6716181503,-1.42614971197;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1967-03-07
0530010Y;Lycée général et technologique Ambroise Paré;LYCEE GENERAL ET TECHNOLOGIQUE;AMBROISE PARE;Public;17 rue du Lycée;;71309;53013;LAVAL CEDEX;Laval;418822.7;6780675.9;EPSG:2154;48.06593887069267;-0.7763004705105594;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;53;52;17;53130;Mayenne;Pays de la Loire;Nantes;48.0659388707,-0.776300470511;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0850082C;Collège privé Richelieu;COLLEGE PRIVE;RICHELIEU;Privé;10 rue FRANCOIS TRUFFAUT;;349;85009;LA ROCHE SUR YON CEDEX;La Roche-sur-Yon;363056.1;6626604.8;EPSG:2154;46.654845721591315;-1.4083996529739702;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;85;52;17;85191;Vendée;Pays de la Loire;Nantes;46.6548457216,-1.40839965297;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1967-03-07
0851557F;Chavagnes International Collège;ECOLE 2D DEGRE INTERNATIONAL;CHAVAGNES INTERNAT COLLEGE;Privé;96 rue DU CALVAIRE;;;85250;CHAVAGNES EN PAILLERS;Chavagnes-en-Paillers;376474.2;6652439.4;EPSG:2154;46.89373177220114;-1.2513696741362699;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;85;52;17;85065;Vendée;Pays de la Loire;Nantes;46.8937317722,-1.25136967414;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2002-09-01
0490707C;Ecole élémentaire Alexandre Pain;ECOLE ELEMENTAIRE PUBLIQUE;ALEXANDRE PAIN;Public;4 bis rue Principale;;;49700;LOURESSE ROCHEMENIER;Louresse-Rochemenier;449602.3;6687153.8;EPSG:2154;47.23743420978778;-0.31081016574395604;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;49;52;17;49182;Maine-et-Loire;Pays de la Loire;Nantes;47.2374342098,-0.310810165744;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-10-15
