Code plate-forme;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
01207-1;0087590356;;Erdre-Active;44240;035;Chapelle-sur-Erdre;44;Loire-Atlantique;-1.5446088;47.2830678;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""ERV""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Erdre-Active"", ""Alias_Libelle_Fronton"": ""Erdre-Active"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": null}";Erdre-Active;Erdre-Active;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;;1;ERV;47.2830678,-1.5446088
01533-1;0087487280;;Cerizay;79140;062;Cerizay;79;Deux-Sèvres;-0.6689931;46.8176878;c;1;GARES C POITOU CHARENTES;"[{""TVS_Code"": ""CEZ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Cerizay"", ""Alias_Libelle_Fronton"": ""Cerizay"", ""AgenceGC_Libelle"": ""DTG Nouvelle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Poitou-Charentes"", ""UT_Libelle"": ""CERIZAY GARE""}";Cerizay;Cerizay;True;False;DTG Nouvelle Aquitaine;REGION PAYS DE LA LOIRE;UG Poitou-Charentes;CERIZAY GARE;1;CEZ;46.8176878,-0.6689931
01538-1;0087486563;;Saint-Hilaire-de-Riez;85270;226;Saint-Hilaire-de-Riez;85;Vendée;-1.9496838;46.7166736;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""SHZ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saint-Hilaire-de-Riez"", ""Alias_Libelle_Fronton"": ""Saint-Hilaire-de-Riez"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""SAINT HILAIRE DE RIEZ GARE""}";Saint-Hilaire-de-Riez;Saint-Hilaire-de-Riez;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;SAINT HILAIRE DE RIEZ GARE;1;SHZ;46.7166736,-1.9496838
01573-1;0087484360;;Ingrandes-Le Fresne-sur-Loire;49123;160;Ingrandes-Le Fresne sur Loire;49;Maine-et-Loire;-0.9210198;47.4056382;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""IGA""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Ingrandes-Le Fresne-sur-Loire"", ""Alias_Libelle_Fronton"": ""Ingrandes sur Loire"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""INGRANDES SUR LOIRE GARE""}";Ingrandes-Le Fresne-sur-Loire;Ingrandes sur Loire;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;INGRANDES SUR LOIRE GARE;1;IGA;47.4056382,-0.9210198
01575-1;0087484337;;La Possonnière;49170;247;Possonnière;49;Maine-et-Loire;-0.6917009;47.3713848;b;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""LPO""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Possonnière"", ""Alias_Libelle_Fronton"": ""La Possonnière"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LA POSSONNIERE GARE""}";La Possonnière;La Possonnière;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LA POSSONNIERE GARE;1;LPO;47.3713848,-0.6917009
01592-1;0087481788;;Le Croisic;44490;049;Croisic;44;Loire-Atlantique;-2.507442;47.289836;b;2;Gare Le Croisic;"[{""TVS_Code"": ""LCC""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Le Croisic"", ""Alias_Libelle_Fronton"": ""Le Croisic"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LE CROISIC GARE""}";Le Croisic;Le Croisic;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LE CROISIC GARE;1;LCC;47.289836,-2.507442
01593-1;0087481770;;Batz-sur-Mer;44740;010;Batz-sur-Mer;44;Loire-Atlantique;-2.4789866;47.2809541;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""BSK""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Batz-sur-Mer"", ""Alias_Libelle_Fronton"": ""Batz-sur-Mer"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""BATZ SUR MER GARE""}";Batz-sur-Mer;Batz-sur-Mer;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;BATZ SUR MER GARE;1;BSK;47.2809541,-2.4789866
01600-1;0087481697;;La Baule Les Pins;44500;055;Baule-Escoublac;44;Loire-Atlantique;-2.3648441;47.2835196;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""BFP""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Baule Les Pins"", ""Alias_Libelle_Fronton"": ""La Baule les Pins"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LA BAULE LES PINS GARE""}";La Baule Les Pins;La Baule les Pins;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LA BAULE LES PINS GARE;1;BFP;47.2835196,-2.3648441
01605-1;0087481598;;Nort-sur-Erdre;44390;110;Nort-sur-Erdre;44;Loire-Atlantique;-1.5033645;47.4419243;b;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""NSE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Nort-sur-Erdre"", ""Alias_Libelle_Fronton"": ""Nort-sur-Erdre"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""NORT SUR ERDRE GARE""}";Nort-sur-Erdre;Nort-sur-Erdre;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;NORT SUR ERDRE GARE;1;NSE;47.4419243,-1.5033645
01609-1;0087481457;;Cugand;85610;076;Cugand;85;Vendée;-1.253301;47.0582602;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""KUG""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Cugand"", ""Alias_Libelle_Fronton"": ""Cugand"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""CUGAND LA BERNARDIERE GARE""}";Cugand;Cugand;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;CUGAND LA BERNARDIERE GARE;1;KUG;47.0582602,-1.253301
