,code_insee,Commune,note_medecin,note_couverture,Note_jardins,Note Temps Trajet/Paris,Nom de la commune,Note Maternelle,Note Primaires,Note Colleges,Note Lycees
0,44109,Nantes,2,5,4,3,Nantes,3,1,1,3
1,49007,Angers,5,5,3,2,Angers,2,2,3,3
2,72181,Le Mans,1,5,2,1,Le Mans,5,2,4,2
3,44184,Saint-Nazaire,5,1,4,5,Saint-Nazaire,1,3,1,2
4,85191,La Roche-sur-Yon,4,1,2,5,La Roche-sur-Yon,5,4,2,4
5,49099,Cholet,2,5,1,4,Cholet,4,4,3,4
6,53130,Laval,1,5,1,1,Laval,4,5,5,5
7,44162,Saint-Herblain,4,5,3,4,Saint-Herblain,2,3,4,1
8,44143,Rezé,3,5,5,3,Rezé,3,1,2,1
9,49328,Saumur,3,1,5,2,Saumur,1,5,5,5
