,code_insee,Commune,note_medecin,note_couverture,Note_jardins,Note Temps Trajet/Paris,Note Maternelle,Note Primaires,Note Colleges,Note Lycees,Sport,Chomage,Nb_Pizzerias,lat,long,Appartement,Maison
0,44109,Nantes,2,5,4,3,3,1,1,3,1,2,5,47.2320285391,-1.5482264563,3362.012666670613,4360.545869115909
1,49007,Angers,5,5,3,2,2,2,3,3,2,5,2,47.476615076499996,-0.556336010156,2336.3109819434526,2598.9456414039964
2,72181,Le Mans,1,5,2,1,5,2,4,2,1,4,1,47.988858549300005,0.19999970022100005,1456.7449697380332,1890.208273760134
3,44184,Saint-Nazaire,5,1,4,5,1,3,1,2,2,4,1,47.280267388599995,-2.25119343266,2288.181428403936,6638.91834089171
4,85191,La Roche-sur-Yon,4,1,2,5,5,4,2,4,3,3,3,46.6674724058,-1.40802242394,1738.6563552076123,1943.6985471265923
5,49099,Cholet,2,5,1,4,4,4,3,4,3,1,4,47.045935617,-0.87703000927,1451.4074584847467,1777.9039020900932
6,53130,Laval,1,5,1,1,4,5,5,5,4,1,2,48.0609748413,-0.765941994139,1512.407800669987,1861.0769154768932
7,44162,Saint-Herblain,4,5,3,4,2,3,4,1,4,2,4,47.2248048342,-1.63412705429,2345.799297625744,3112.356457410882
8,44143,Rezé,3,5,5,3,3,1,2,1,5,2,3,47.176676301899995,-1.55014965916,2330.0798791786715,3666.92594611005
9,49328,Saumur,3,1,5,2,1,5,5,5,5,5,5,47.267380635500004,-0.0829246108946,1434.2900979806143,1637.501444100031
