Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
LOULOU CÔTE SAUVAGE;Restaurant;Restaurant gastronomique - cuisine raffinée;;19 route Bleue;;85100;;;LES SABLES-D'OLONNE;85194;46.493378;-1.810914;;;02 51 21 32 32;;loulou.cotesauvage@orange.fr;http://www.louloucotesauvage.com;;"Facebook||https://www.facebook.com/louloucotesauvage ; Tripadvisor||";"<div id=""TA_cdsratingsonlywide323"" class=""TA_cdsratingsonlywide"">;<ul id=""pK14ib"" class=""TA_links TVAdv5R2g"">;<li id=""m4YXOkf"" class=""GYnPLt"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/tripadvisor_logo_transp_340x80-18034-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=cdsratingsonlywide&amp;uniq=323&amp;locationId=2164340&amp;lang=fr&amp;border=false&amp;display_version=2""></script>;";;"Gault Millau;Pudlowski";;;non;;Maitres Restaurateurs;WiFi;50;;;;;;"Anglais;Espagnol";"Anglais;Espagnol";;;non;"01/01/2020||14/11/2020|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 16/12/2020||31/12/2020|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/01/2021||28/02/2021|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 26/03/2021||14/11/2021|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 16/12/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;"Menu adulte du jour (midi en semaine)||37,00||85,00|| ; Menu enfant||16,00||||-13 ans ; Plats à la carte||34,00||||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";46.493378,-1.810914;Vendée
MA RÉSERVE;;Bistrot / bar à vin;;3 rue de la Chapelle;;85350;;;L'ILE-D'YEU;85113;46.72669;-2.35013;;;02 51 59 11 41;;mareserve.yeu@mareserve.com;http://mareserve.com/;;Facebook||https://www.facebook.com/lareservedubouchon/;;;;;;oui;;;"Plats à emporter;Séminaire;Service en terrasse;WiFi";;;;;;;oui;oui;;;;01/04/2020||01/11/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux";46.72669,-2.35013;Vendée
MAISON FADOLI;Restaurant;Restauration rapide;;70 Boulevard de Linz;;44210;;;PORNIC;44131;47.12174;-2.11275;;;02 40 27 38 15;;pausecafe@wanadoo.fr;http://www.pizza-pornic.fr/horaires.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";47.12174,-2.11275;Loire-Atlantique
MAMIE FADA;;;;18 quai des Carmes;;49100;;;ANGERS;49007;47.47267;-0.56097;;;07 56 95 69 03;;berangere@mamiefada.com;https://www.mamiefada.com/;;Facebook||https://www.facebook.com/fadaangers/;;;;;;oui;;;"Service en terrasse;WiFi";;;;;;;"Anglais;Français";"Anglais;Français";;;;"01/01/2020||31/12/2020||||||16:00||00:00||||||16:00||00:00||||||16:00||00:00||||||16:00||00:00||||||16:00||00:00||||||16:00||00:00||||||16:00||00:00|||| ; 01/01/2021||31/12/2021||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant";47.47267,-0.56097;Maine-et-Loire
MARIUS;Restaurant;Salon de thé;;50 quai Leray;;44210;;;PORNIC;44131;47.1149;-2.10277;;;02 51 18 18 00;;marius.pornic@gmail.com;http://www.marius-pornic.fr;;;;;;;;;;Maitres Restaurateurs;"Banquet;Séminaire;WiFi";120;3;40;3;;;oui;oui;;150;;01/01/2020||31/12/2020||||||08:30||||||01:00||08:30||||||01:00||08:30||||||01:00||08:30||||||01:00||08:30||||||01:00||08:30||||||01:00||08:30||||||01:00;;;;;"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";47.1149,-2.10277;Loire-Atlantique
MIMI BEACH;Restaurant;Restauration rapide;;Plage des generelles;Rue du Milouin;85360;;;LA TRANCHE-SUR-MER;85294;46.3408022;-1.4456202;"Autoroute||A87||40 ; Gare SNCF||la Roche-sur-Yon||40";06 75 64 50 50;;;marinevanhaecke@hotmail.com;;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g580152-d2153978-Reviews-Mimi_Beach-La_Tranche_sur_Mer_Vendee_Pays_de_la_Loire.html;"<div id=""TA_cdsratingsonlywide47"" class=""TA_cdsratingsonlywide""><ul id=""6zMz2WFsGY"" class=""TA_links Xb620ZAStoT""><li id=""zuB1vwL"" class=""tQZzAol""><a rel=""nofollow"" target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/tripadvisor_logo_transp_340x80-18034-2.png"" alt=""TripAdvisor""/></a></li></ul></div><script src=""https://www.jscache.com/wejs?wtype=cdsratingsonlywide&amp;uniq=47&amp;locationId=2153978&amp;lang=fr&amp;border=true&amp;display_version=2""></script>";;;;;;;;;;;;;;;;;;;non;;;;;;;46.3408022,-1.4456202;Vendée
NEOPOLITAN PIZZERIA;Restaurant;;;8 allée Baco;;44100;;;NANTES;44109;47.2142986;-1.5485862;;;02 51 83 81 83;;bonjour@neopolitan.fr;www.neopolitan.fr;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.2142986,-1.5485862;Loire-Atlantique
NIOUZ CAFÉ;Restaurant;Restauration rapide;;37 Avenue du Général de Gaulle;;44500;;;LA BAULE-ESCOUBLAC;44055;47.2830277;-2.3923277;;;;;thebault.stephane@neuf.fr;;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||||||11:30||||||22:00||11:30||||||22:00||11:30||||||22:00||11:30||||||22:00||11:30||||||22:00||11:30||||||22:00||11:30||||||22:00;;;;;;47.2830277,-2.3923277;Loire-Atlantique
O' KOMPTOIR;Restaurant;Restauration rapide;;2 rue de la Perpoise;;85520;;;JARD-SUR-MER;85114;46.4211954;-1.5757378;;;02 51 90 52 58;;;;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g1236667-d14922006-Reviews-O_Komptoir-Jard_sur_Mer_Vendee_Pays_de_la_Loire.html;;;;;;;;;;;;;;;;;;;;;;;;;;;46.4211954,-1.5757378;Vendée
O'BRIEN'S IRISH PUB;Restaurant;;;130 avenue de Mazy;;44380;;;PORNICHET;44132;47.26949;-2.3442;;;02 44 73 96 41;;;;;;;;;;;;;;WiFi;;;;;;;Anglais;Anglais;;;;"01/01/2019||15/04/2019||||||||||||||15:30||||||01:00||15:30||||||01:00||15:30||||||01:00||15:30||||||01:00||15:30||||||01:00||15:30||||||01:00 ; 15/04/2019||30/06/2019||||||||||||||15:30||||||02:00||15:30||||||02:00||15:30||||||02:00||15:30||||||02:00||15:30||||||02:00||15:30||||||02:00 ; 01/07/2019||31/08/2019||||||15:30||||||02:00||15:30||||||02:00||15:30||||||02:00||15:30||||||02:00||15:30||||||02:00||15:30||||||02:00||15:30||||||02:00 ; 01/09/2019||31/12/2019||||||||||||||15:30||||||01:00||15:30||||||01:00||15:30||||||01:00||15:30||||||01:00||15:30||||||01:00||15:30||||||01:00";;;;;Cartes bancaires;47.26949,-2.3442;Loire-Atlantique
